episode_index,building,collector_id,language_instruction,language_instruction_2,language_instruction_3,is_episode_successful,task_index
118,PennPAL lab,06b0ffa5,Remove the marker from the mug,Take the blue marker out of the red and black mug.,Put the pen on the table,true,92
137,PennPAL lab,06b0ffa5,Close the cabinet drawer on the left,Close the drawer,Close the top drawer on the left,true,109
145,PennPAL lab,06b0ffa5,Close the drawer,Close the open drawer,Close you drawer,true,115
287,PennPAL lab,06b0ffa5,Move the pen out of the white cup and place it on top of the cabinet,Take the pen out of the mug and put it on the counter,Put the pen in the mug on the counter,true,224
360,PennPAL lab,06b0ffa5,Close the top drawer of the kitchen unit,Close the drawer,Close the top drawer,true,278
464,PennPAL lab,06b0ffa5,Close the top drawer of the cabinet.,Close the drawer on the left,Close the drawer,true,360
634,PennPAL lab,06b0ffa5,Remove the marker from the mug cup and place it on the table,Put the pen on the table,Pick up the pen from the black cup and put it on the table.,true,158
1125,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Put the black tape on the white plate,Put the masking tape on the plate,true,856
1322,PennPAL lab,06b0ffa5,Put the tape on the plate,Put the masking tape on the plate,Put the black tape on the plate,true,996
1774,PennPAL lab,06b0ffa5,Put the blue sharpie on the table,Remove the pen from the red and black mug,Put the marker in the mug on the table,true,1323
1777,PennPAL lab,06b0ffa5,Put the pen on the counter,Take the black pen out of the red and white mug and place it on the left side of the counter,Take the pen from the white cup and place near the mouse,true,1326
1865,PennPAL lab,06b0ffa5,Place the marker on the table,Take the pen out of the mug and put it on the table,Remove the pen from the mug and put it on the table,true,811
2035,PennPAL lab,06b0ffa5,Take the pen out of the cup and put it on the counter,Take the pen out of the cup and put it on the counter,Put the marker on the counter,true,1503
2041,PennPAL lab,06b0ffa5,Remove the blue pen from the mug and put it on the table,Remove the pen from the mug and put it on the table,Put the marker on the table,true,1505
2074,PennPAL lab,06b0ffa5,Remove the thing from the mug and put it on the table,Remove the thing from the mug and put it on the towel,Take the pen out of the mug and put it on the table,true,1527
2430,PennPAL lab,06b0ffa5,Close the open drawer,Close the open drawer,Close the open drawer,true,9
2729,PennPAL lab,06b0ffa5,Take the pen out of the mug and place it on the counter,Put the pen on the countertop,Take the pen out of the mug and place it on the table,true,1975
2771,PennPAL lab,06b0ffa5,Pick the pen from the cup and put it on the table,Pick up the pen from the cup and put it on the table,Remove the pen from the cup and put it on the table,true,2002
3112,PennPAL lab,06b0ffa5,Pick up the marker inside the black mug and put it on the table.,Remove the marker from the mug,Remove the marker from the mug cup and place it on the counter,true,2239
3373,PennPAL lab,06b0ffa5,Put the masking tape on the plate,Put the black tape on the white plate,Pick up the black tape from the table and put it on the plate.,true,2410
3824,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Pick the masking tape and put it on the plate,Put the tape on the plate,true,856
3845,PennPAL lab,06b0ffa5,Take the pen from the white cup and put it on the table,Remove the pen from the mug cup and place it on the counter top,Remove the pen from the mug and put it on the counter,true,2733
3906,PennPAL lab,06b0ffa5,Remove the marker out of the cup and put it on the table,Remove the marker from the cup,Put the pen on the table,true,2136
4300,PennPAL lab,06b0ffa5,Pick up the pen from the green cup and put it on the countertop.,Remove the pen from the cup and put it on the table,Remove the sharpie from the cup,true,3034
4400,PennPAL lab,06b0ffa5,Remove the marker from the cup and put it on the counter,Remove the marker from the cup and place it on the table,Remove the marker from the cup,true,3098
4449,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the table,Take the pen out of the marker and place it on the table,Take the marker out of the black cup and place it on the table,true,604
4504,PennPAL lab,06b0ffa5,Close the drawer,Close the drawer,Close the open drawer,true,115
4522,PennPAL lab,06b0ffa5,Close the open drawer,Close the drawer,Close the left top drawer,true,9
4616,PennPAL lab,06b0ffa5,Pick up the black tape from the table and put it in the plate.,Pick up the seal tape and put it on the plate,Put the black masking tape on the white plate,true,3231
4675,PennPAL lab,06b0ffa5,Take the pen out of the cup,Remove the blue sharpie from the mug and put it on the table,Take the pen out of the cup,true,3266
4688,PennPAL lab,06b0ffa5,Take the pen out of the mug and put it on the table,Remove the pen from the mug and put it on the table,Remove the pen from the black mug cup and put it on the table,true,604
4776,PennPAL lab,06b0ffa5,Remove the pen from the cup and put it on the table,Pick up the pen from the cup and put it on the table,Take the blue marker out of the red and black mug,true,1720
4792,PennPAL lab,06b0ffa5,Remove the marker in the mug on the counter,Remove the pen from the cup and put it on the table,Pick up the marker from the cup and place it on the table,true,3339
4831,PennPAL lab,06b0ffa5,Put the pen on the table,Remove the pen from the mug,Put the pen in the mug on the table,true,1133
4962,PennPAL lab,06b0ffa5,Put the black masking tape on the white plate,Put the black masking tape on the plate,Put the masking tape on the plate,true,856
5447,PennPAL lab,06b0ffa5,Take the pen out of the mug and place it on the table,Pick the pen in the cup and put it on the table,Put the pen on the table,true,3744
5632,PennPAL lab,06b0ffa5,Put the pen on the table,Put the pen on the table,Remove the pen from the cup and put it on the table,true,1133
5662,PennPAL lab,06b0ffa5,Put the marker on the table,Put the marker on the table,Take the marker out of the cup,true,243
