is_first,is_last,is_terminal,language_instruction,language_instruction_2,language_instruction_3,observation.state.gripper_position,observation.state.cartesian_position,observation.state.joint_position,observation.state,action.gripper_position,action.gripper_velocity,action.cartesian_position,action.cartesian_velocity,action.joint_position,action.joint_velocity,action.original,action,discount,reward,task_category,building,collector_id,date,camera_extrinsics.wrist_left,camera_extrinsics.exterior_1_left,camera_extrinsics.exterior_2_left,is_episode_successful,timestamp,frame_index,episode_index,index,task_index
false,false,false,"","","",0.6475771,"[0.36713916, 0.4257128, 0.49696198, 2.896136, -0.48272857, 1.5018609]","[0.44976246, -0.09285992, 0.40706584, -2.1489232, 0.20839651, 2.5876794, -0.7239939]","[0.44976246, -0.09285992, 0.40706584, -2.1489232, 0.20839651, 2.5876794, -0.7239939, 0.6475771]",0.8820405,0.93785375,"[0.33762464, 0.4045681, 0.5080439, 2.826257, -0.51675195, 1.5589888]","[-0.3459117, -0.27666643, 0.19122346, 0.20134915, -0.3781258, 0.1258115]","[0.47663644, -0.19323769, 0.39504957, -2.240859, 0.2526618, 2.6466198, -0.7698254]","[0.10946672, -0.47470376, -0.060039304, -0.38010773, 0.2158033, 0.21677084, -0.2152552]","[0.33762464, 0.4045681, 0.5080439, 2.826257, -0.51675195, 1.5589888, 0.8820405]","[0.47663644, -0.19323769, 0.39504957, -2.240859, 0.2526618, 2.6466198, -0.7698254, 0.8820405]",1.0,0.0,2479 Richard Ct,2479 Richard Ct,52ca9b6a,52ca9b6a,"[0.34543806, -0.18075275, 0.47526526, 2.5114903, 0.1086637, 1.275736]","[0.3311588, 0.7093093, 0.4958132, -2.050212, -0.015340735, -2.7123444]","[-0.061356284, -0.5999034, 0.48701075, -2.1611223, 0.059811078, -0.96402305]",true,8.933333,134,0,134,0
false,false,false,Pick up the longer upright white container from the table and put it in the orange plastic bag,Place the lotion bottle in the plastic,Put the white object inside the plastic bag,0.0,"[0.43203378, -0.16886361, 0.40601152, 3.0514135, 0.1264201, -0.6593788]","[-0.23963465, -0.18527226, -0.12103765, -2.314346, -0.07728412, 1.9817863, 0.33285218]","[-0.23963465, -0.18527226, -0.12103765, -2.314346, -0.07728412, 1.9817863, 0.33285218, 0.0]",0.0,0.0,"[0.447521, -0.17972526, 0.39038575, 3.0593626, 0.11001086, -0.6984077]","[0.18602121, -0.11627496, -0.15385312, -0.021693634, -0.109157845, -0.24620293]","[-0.2327936, -0.124917656, -0.1413296, -2.2905872, -0.06802727, 2.0345576, 0.35639054]","[0.034202192, 0.24832106, -0.083821125, 0.11870454, 0.045722477, 0.2026693, 0.117662095]","[0.447521, -0.17972526, 0.39038575, 3.0593626, 0.11001086, -0.6984077, 0.0]","[-0.2327936, -0.124917656, -0.1413296, -2.2905872, -0.06802727, 2.0345576, 0.35639054, 0.0]",1.0,0.0,BWW,BWW,be856380,be856380,"[0.2153202, 0.048296537, 0.474305, 2.953217, -0.036440235, 1.3480517]","[0.16028829, -0.38885874, 0.53055686, -2.1659212, 0.010536188, -0.8458445]","[0.26202515, 0.55956584, 0.32875395, -2.0695257, 0.013301582, -2.113231]",true,3.6,54,3,898,3
false,false,false,Put the orange cup onto the windowsill,Put the orange cup on the window sill,Put the cup on the window seal,0.36563876,"[0.56324947, 0.5741811, 0.30933133, -2.9725015, 0.064703204, 0.13830838]","[0.71144956, 1.0941628, 0.16522045, -0.6820954, 0.027836952, 1.8216119, 0.6449999]","[0.71144956, 1.0941628, 0.16522045, -0.6820954, 0.027836952, 1.8216119, 0.6449999, 0.36563876]",0.6861234,1.0,"[0.5859511, 0.6006729, 0.3044485, -2.975703, 0.059186853, 0.14778696]","[0.2954316, 0.34043354, -0.04980605, -0.023006728, -0.009825386, 0.06552519]","[0.73484933, 1.1697167, 0.14161666, -0.5599466, 0.037977487, 1.7811227, 0.6357219]","[0.10099283, 0.33130312, -0.100610435, 0.54300183, 0.05068391, -0.2020847, -0.045494605]","[0.5859511, 0.6006729, 0.3044485, -2.975703, 0.059186853, 0.14778696, 0.6861234]","[0.73484933, 1.1697167, 0.14161666, -0.5599466, 0.037977487, 1.7811227, 0.6357219, 0.6861234]",1.0,0.0,403 Fairmont,403 Fairmont,52ca9b6a,52ca9b6a,"[0.24573307, -0.21689962, 0.4785921, 2.859468, 0.25596172, 1.3202267]","[0.13920686, 0.5680166, 0.34996948, -1.7405999, -0.066388726, -2.2430525]","[0.24115184, -0.44161668, 0.26472163, -1.9483166, -0.038739756, -0.42459425]",true,7.8,117,11,2723,8
false,false,false,"","","",0.0,"[0.5057755, -0.095053956, 0.35933554, 2.9914541, 0.052539263, 0.18074004]","[-0.011057348, -0.009300854, -0.16395022, -2.2768626, -0.2086258, 2.2603705, -0.22609077]","[-0.011057348, -0.009300854, -0.16395022, -2.2768626, -0.2086258, 2.2603705, -0.22609077, 0.0]",0.0,0.0,"[0.50968444, -0.09868593, 0.34699184, 2.9861693, 0.0695762, 0.13539544]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.046612736, 0.025592515, -0.13352948, -2.2626083, -0.21520224, 2.258146, -0.18154031]","[-0.13085416, -0.0012391171, 0.13280432, 0.0076635485, -0.0018813513, -0.013150981, 0.0017282412]","[0.50968444, -0.09868593, 0.34699184, 2.9861693, 0.0695762, 0.13539544, 0.0]","[-0.046612736, 0.025592515, -0.13352948, -2.2626083, -0.21520224, 2.258146, -0.18154031, 0.0]",1.0,0.0,BAIR,BAIR,t3d58310,t3d58310,"[0.25599194, -0.17836289, 0.47930312, 2.713344, -0.073085554, 1.8239836]","[0.35064104, 0.38963103, 0.3973878, -2.3050795, 0.020773731, -2.4468546]","[0.21111691, -0.34901842, 0.39391237, -2.0826974, -0.007944733, -0.818939]",false,3.5333333,53,34,10778,0
false,false,false,"","","",0.88105726,"[0.501596, 0.16394238, 0.28220716, 2.8795555, -0.12426729, 1.9348876]","[0.09836811, 0.15659171, 0.23855859, -2.3785176, 0.2622096, 2.7786808, -1.8229855]","[0.09836811, 0.15659171, 0.23855859, -2.3785176, 0.2622096, 2.7786808, -1.8229855, 0.88105726]",0.98348016,0.3568282,"[0.49988946, 0.1611474, 0.29027256, 2.8370867, -0.13753593, 1.9528967]","[-0.021322828, -0.040418033, 0.10667601, 0.16268834, -0.2311471, 0.07699627]","[0.070749655, 0.14108069, 0.2732125, -2.3834832, 0.31287223, 2.8033197, -1.8746433]","[-0.1199102, -0.077475555, 0.1500645, -0.024747297, 0.221986, 0.121737495, -0.2339129]","[0.49988946, 0.1611474, 0.29027256, 2.8370867, -0.13753593, 1.9528967, 0.98348016]","[0.070749655, 0.14108069, 0.2732125, -2.3834832, 0.31287223, 2.8033197, -1.8746433, 0.98348016]",1.0,0.0,BAIR,BAIR,t3d58310,t3d58310,"[0.25599194, -0.17836289, 0.47930312, 2.713344, -0.073085554, 1.8239836]","[0.35064104, 0.38963103, 0.3973878, -2.3050795, 0.020773731, -2.4468546]","[0.21111691, -0.34901842, 0.39391237, -2.0826974, -0.007944733, -0.818939]",false,15.466666,232,34,10957,0
false,false,false,"","","",0.0,"[0.43258458, 0.011669993, 0.38006875, 2.9803305, 0.32010934, 0.27230117]","[0.030386144, -0.2070574, 0.034965232, -2.389992, -0.22811112, 1.8941348, -0.13048716]","[0.030386144, -0.2070574, 0.034965232, -2.389992, -0.22811112, 1.8941348, -0.13048716, 0.0]",0.0,0.0,"[0.43813136, 0.004771946, 0.37277526, 2.9824846, 0.33064553, 0.26826873]","[0.07413612, -0.08301895, -0.069053054, -0.0060492745, 0.03889275, -0.022173591]","[0.02544987, -0.18173094, 0.024941226, -2.3806846, -0.23464337, 1.900228, -0.13562281]","[-0.022655306, 0.1061161, -0.044523843, 0.050667427, -0.032421757, 0.030032227, -0.025318963]","[0.43813136, 0.004771946, 0.37277526, 2.9824846, 0.33064553, 0.26826873, 0.0]","[0.02544987, -0.18173094, 0.024941226, -2.3806846, -0.23464337, 1.900228, -0.13562281, 0.0]",1.0,0.0,Autolab,Autolab,cf2a60c6,cf2a60c6,"[0.3448723, -0.16536893, 0.42546335, 3.0299995, 0.24402024, 1.6347642]","[0.41054162, 0.52926314, 0.4414962, -1.8349088, 0.1084998, -2.8122635]","[0.07457132, -0.20085455, 0.42319936, -1.8120184, 0.050912473, -1.0936855]",false,2.1333334,32,40,12800,0
false,false,false,Remove the circular object from the orange object,Remove the clear ring from the ring stacking stand in the wooden tray and place it on the table,Remove the colorless ring from the orange rod and put it on the table,0.0,"[0.46189407, 0.08953905, 0.34020206, -3.0406716, -0.20207849, -0.16713834]","[0.068966076, -0.121843375, 0.12745427, -2.5337615, 0.079414375, 2.6360433, 0.2889414]","[0.068966076, -0.121843375, 0.12745427, -2.5337615, 0.079414375, 2.6360433, 0.2889414, 0.0]",0.0,0.0,"[0.47544804, 0.07813731, 0.32682726, -3.0664873, -0.2421066, -0.21506602]","[0.1565207, -0.10894993, -0.14832732, -0.16273984, -0.18110913, -0.29922405]","[0.03864012, -0.07476784, 0.11940029, -2.523878, -0.0048293583, 2.7024698, 0.36532706]","[-0.11902898, 0.19567491, -0.031815697, 0.052359175, -0.3297974, 0.25525296, 0.31317964]","[0.47544804, 0.07813731, 0.32682726, -3.0664873, -0.2421066, -0.21506602, 0.0]","[0.03864012, -0.07476784, 0.11940029, -2.523878, -0.0048293583, 2.7024698, 0.36532706, 0.0]",1.0,0.0,BWW,BWW,be856380,be856380,"[0.24747021, 0.09656325, 0.35913724, 2.7039592, -0.25552642, 1.5705223]","[0.18139265, -0.48628062, 0.49380383, -2.0814507, 0.015244955, -0.7673891]","[0.26725322, 0.52155226, 0.39551482, -2.3748386, -0.037890624, -1.9783407]",true,2.7333333,41,62,16898,49
false,false,false,Close the first top drawer,Close the first top drawer,Close the top drawer of the cabinet.,0.0,"[0.6121218, 0.019558214, 0.16588922, 3.0468664, -0.0883314, 0.5656699]","[-0.046507377, 0.59397805, 0.06899975, -2.0103662, -0.17872427, 2.7224348, -0.3941904]","[-0.046507377, 0.59397805, 0.06899975, -2.0103662, -0.17872427, 2.7224348, -0.3941904, 0.0]",0.0,0.0,"[0.634256, 0.010907657, 0.15677641, 3.030752, -0.11395784, 0.37102702]","[0.23324485, -0.05940203, -0.087018386, -0.023414852, -0.17032152, -0.9851103]","[-0.0074081644, 0.6483099, 0.010437224, -1.9353324, -0.16043276, 2.7269506, -0.22506288]","[0.18122956, 0.19700325, -0.24514742, 0.28269035, 0.07298482, 0.022485144, 0.6456566]","[0.634256, 0.010907657, 0.15677641, 3.030752, -0.11395784, 0.37102702, 0.0]","[-0.0074081644, 0.6483099, 0.010437224, -1.9353324, -0.16043276, 2.7269506, -0.22506288, 0.0]",1.0,0.0,Gates,Gates,7790ec0a,7790ec0a,"[0.19989774, 0.0014662533, 0.42619145, 2.7560709, -0.061040517, 1.4238311]","[0.42815864, 0.47243357, 0.4214248, -2.013339, 0.0111000035, -2.8180928]","[0.1816064, -0.54645425, 0.4131921, -1.9349402, -0.054749012, -0.48115945]",true,6.3333335,95,63,17152,50
false,false,false,Pull the curtain up,Open the blinds.,Open the curtains slightly,0.98237884,"[0.6218071, -0.35556087, 0.69222826, 3.084251, -0.87403566, 0.13047571]","[-0.40121973, 0.44759074, -0.22940786, -1.0063349, 0.6783538, 2.1230838, -0.83308685]","[-0.40121973, 0.44759074, -0.22940786, -1.0063349, 0.6783538, 2.1230838, -0.83308685, 0.98237884]",0.99559474,0.052863434,"[0.62434727, -0.35743928, 0.7041376, 3.0709167, -0.83885914, 0.12556587]","[0.033943173, -0.02984493, 0.15797785, -0.07962981, 0.20064251, -0.10563175]","[-0.39647707, 0.45739037, -0.24572147, -0.96755433, 0.63748306, 2.0849497, -0.79539615]","[0.021888018, 0.0489629, -0.08061483, 0.18895322, -0.1858267, -0.17550224, 0.18234105]","[0.62434727, -0.35743928, 0.7041376, 3.0709167, -0.83885914, 0.12556587, 0.99559474]","[-0.39647707, 0.45739037, -0.24572147, -0.96755433, 0.63748306, 2.0849497, -0.79539615, 0.99559474]",1.0,0.0,416 W Dana St,416 W Dana St,52ca9b6a,52ca9b6a,"[0.2102668, 0.15569851, 0.42627853, 2.6018734, 0.1769591, 1.3523383]","[0.19189638, 0.58815897, 0.46596235, -1.7455779, -0.027309833, -2.343428]","[0.0032190492, -0.2570102, 0.51762056, -1.8203905, -0.11480907, -1.1980009]",true,9.8,147,67,18170,52
false,false,false,Open the right door of the cabinet,Open the right cabinet door.,Open the bottom right cabinet door,0.026431767,"[0.68895084, -0.0362213, -0.025614737, 3.1343446, -0.54496086, 0.3825339]","[-0.35213202, 1.3420682, 0.34786206, -1.4157732, -0.23639077, 3.1740403, -0.48719305]","[-0.35213202, 1.3420682, 0.34786206, -1.4157732, -0.23639077, 3.1740403, -0.48719305, 0.026431767]",0.34251106,1.0,"[0.69917876, -0.04405714, -0.02794985, 3.1352062, -0.60003304, 0.40380186]","[0.13386467, -0.084969446, -0.03662773, 0.12498436, -0.32038704, 0.1340701]","[-0.40064767, 1.3841518, 0.4071826, -1.3737407, -0.2944351, 3.1893659, -0.51244056]","[-0.20139629, 0.19950348, 0.2623533, 0.2056438, -0.24387388, 0.07743618, -0.12600085]","[0.69917876, -0.04405714, -0.02794985, 3.1352062, -0.60003304, 0.40380186, 0.34251106]","[-0.40064767, 1.3841518, 0.4071826, -1.3737407, -0.2944351, 3.1893659, -0.51244056, 0.34251106]",1.0,0.0,RAIL,RAIL,d027f2ae,d027f2ae,"[0.21277672, -0.23765865, 0.55644226, 3.097453, -0.22389226, 1.6780428]","[0.3282409, -0.24312761, 0.29942763, -2.0673354, 0.0040779, -0.73172855]","[0.18011446, 0.35730696, 0.60965484, -2.2169511, -0.15123814, -1.8554327]",true,4.6,69,68,18394,53
