"hh_id","is_complete","num_trips","person_id","person_num","is_participant","day_id","day_num","travel_date","travel_dow","hh_day_complete","num_complete_trip_surveys","summary_complete","begin_day","end_day","no_travel_1","no_travel_2","no_travel_3","no_travel_4","no_travel_5","no_travel_6","no_travel_7","no_travel_8","no_travel_11","no_travel_12","no_travel_13","no_travel_99","delivery_2","delivery_4","delivery_5","delivery_6","delivery_7","delivery_8","delivery_9","delivery_996","shop_online","telecommute_time","day_weight_zonal","day_weight_citywide"
"24000079","1","9","2400007901","1","1","240000790101","1","05/31/2024","5","1","7","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","101.39419578099","149.4550367772"
"24000079","1","8","2400007901","1","1","240000790102","2","06/01/2024","6","1","6","1","1","2","995","995","995","995","995","995","995","995","995","995","995","995","1","0","0","0","0","0","0","0","0","995","101.39419578099","149.4550367772"
"24000079","1","7","2400007901","1","1","240000790103","3","06/02/2024","7","1","7","1","2","2","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","101.39419578099","149.4550367772"
"24000079","1","0","2400007901","1","1","240000790104","4","06/03/2024","1","1","0","1","2","2","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","995","101.39419578099","149.4550367772"
"24000079","1","0","2400007901","1","1","240000790105","5","06/04/2024","2","1","0","1","2","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","995","101.39419578099","149.4550367772"
"24000079","1","11","2400007901","1","1","240000790106","6","06/05/2024","3","1","7","1","2","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","101.39419578099","149.4550367772"
"24000079","0","5","2400007901","1","1","240000790107","7","06/06/2024","4","0","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","1","995","0","0"
"24000108","1","4","2400010801","1","1","240001080101","1","05/17/2024","5","1","4","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
"24000108","1","2","2400010801","1","1","240001080102","2","05/18/2024","6","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
"24000108","1","2","2400010801","1","1","240001080103","3","05/19/2024","7","1","2","1","1","1","995","995","995","995","995","995","995","995","995","995","995","995","0","0","0","0","0","0","0","1","0","995","646.80215866914","694.89799079122"
